,Type,Gender,Officer-defined ethnicity,Object-of-search,Outcome,Outcome-linked-to-object-of-search,years,Age-min,Age-max
713,1,1,3,1,7,0,1,0,0
714,0,1,3,3,9,0,1,1,1
715,0,1,3,3,10,0,1,2,2
717,1,1,0,3,7,0,1,2,2
718,0,1,0,3,13,0,1,0,0
719,1,1,1,3,7,0,1,1,1
720,1,1,3,3,7,0,1,1,1
723,1,1,3,10,7,0,1,2,2
724,1,1,3,2,7,0,1,1,1
726,1,1,0,1,2,0,1,1,1
727,1,0,3,1,2,0,1,1,1
728,1,0,1,3,7,0,1,1,1
731,1,1,1,3,7,0,1,1,1
733,1,1,0,10,13,0,1,1,1
736,1,1,3,1,7,0,1,2,2
738,1,1,3,1,10,0,1,1,1
739,1,1,3,10,7,0,1,1,1
740,1,1,1,10,7,0,1,1,1
741,1,1,3,10,6,0,1,1,1
743,1,1,3,10,7,0,1,1,1
744,1,1,3,10,7,0,1,1,1
745,1,1,3,3,7,0,1,0,0
749,0,1,0,3,7,0,1,1,1
750,0,1,0,3,7,0,1,1,1
751,0,1,0,8,7,0,1,1,1
754,0,0,1,3,9,0,1,2,2
755,1,1,0,3,7,0,1,1,1
756,1,1,0,3,8,0,1,1,1
757,1,1,0,3,7,0,1,1,1
758,1,1,0,3,9,0,1,1,1
762,1,0,0,3,9,0,1,1,1
763,1,0,1,3,9,0,1,1,1
765,1,1,1,3,14,0,1,1,1
766,1,1,0,0,7,0,1,0,0
767,1,1,3,10,6,0,1,0,0
768,1,1,3,10,7,0,1,2,2
770,1,1,3,10,7,0,1,0,0
771,1,1,0,1,7,0,1,1,1
772,1,0,0,1,7,0,1,1,1
773,1,0,0,1,7,0,1,1,1
774,1,0,1,1,7,0,1,1,1
777,1,1,1,10,7,0,1,0,0
779,1,0,3,10,7,0,1,0,0
781,1,1,1,0,7,0,1,1,1
782,1,1,0,1,7,0,1,0,0
788,1,0,1,10,7,0,1,2,2
789,1,1,3,10,7,0,1,0,0
790,1,1,3,10,7,0,1,0,0
791,1,0,3,10,7,0,1,2,2
792,1,1,0,0,7,0,1,0,0
793,1,1,3,10,2,0,1,1,1
796,1,1,3,3,9,0,1,2,2
798,1,1,1,3,7,0,1,1,1
799,1,1,3,0,7,0,1,0,0
800,1,1,3,0,7,0,1,2,2
801,1,1,3,0,7,0,1,0,0
802,1,1,3,1,7,0,1,2,2
803,1,0,3,10,7,0,1,0,0
804,1,1,3,10,6,0,1,0,0
805,0,1,1,3,7,0,1,0,0
806,1,1,1,3,9,0,1,0,0
807,0,1,0,3,10,0,1,1,1
811,1,1,3,3,14,0,1,0,0
813,1,1,3,1,7,0,1,1,1
814,1,1,3,1,7,0,1,1,1
817,0,1,0,3,7,0,1,2,2
818,1,1,0,3,7,0,1,1,1
819,1,0,3,10,13,0,1,0,0
824,1,1,1,3,9,0,1,1,1
825,1,1,0,3,7,0,1,1,1
826,1,0,3,3,8,0,1,1,1
828,1,1,3,10,7,0,1,0,0
829,0,1,1,3,7,0,1,1,1
830,1,1,1,3,7,0,1,1,1
831,1,1,1,3,7,0,1,1,1
834,1,1,1,3,7,0,1,0,0
835,1,1,1,3,7,0,1,1,1
836,1,0,1,3,7,0,1,1,1
837,1,1,1,3,7,0,1,2,2
839,1,1,0,1,7,0,1,0,0
840,1,0,3,3,7,0,1,1,1
841,1,0,3,3,7,0,1,1,1
843,1,1,3,1,7,0,1,0,0
844,1,0,3,10,6,0,1,0,0
845,1,1,3,0,13,0,1,0,0
848,1,1,3,10,7,0,1,2,2
849,1,1,1,1,7,0,1,1,1
850,1,1,1,0,7,0,1,0,0
851,1,1,0,3,14,0,1,0,0
852,1,1,3,10,7,0,1,0,0
853,1,1,3,10,7,0,1,1,1
854,1,1,3,3,14,0,1,1,1
855,1,1,0,3,7,0,1,1,1
856,1,1,0,3,7,0,1,2,2
857,1,1,0,3,7,0,1,2,2
858,0,1,1,3,7,0,1,2,2
859,1,1,0,3,7,0,1,2,2
860,0,1,0,3,9,0,1,2,2
862,1,0,3,10,6,0,1,2,2
863,0,1,3,3,14,0,1,2,2
864,1,1,3,10,7,0,1,2,2
866,1,1,2,3,9,0,1,1,1
867,1,1,0,3,7,0,1,2,2
869,1,1,3,0,7,0,1,0,0
870,1,1,3,0,7,0,1,1,1
872,1,1,3,1,7,0,1,1,1
874,1,1,0,3,7,0,1,1,1
875,1,1,0,3,9,0,1,1,1
877,1,0,0,10,7,0,1,1,1
878,1,1,1,5,7,0,1,1,1
879,1,1,1,5,7,0,1,1,1
881,1,1,3,1,7,0,1,1,1
882,1,1,3,10,7,0,1,1,1
883,1,1,3,10,7,0,1,0,0
885,1,1,3,3,9,0,1,1,1
886,1,1,3,3,7,0,1,1,1
887,1,1,1,1,7,0,1,2,2
888,1,1,3,10,7,0,1,0,0
889,0,1,1,3,7,0,1,2,2
891,1,1,3,1,7,0,1,0,0
892,0,1,0,10,7,0,1,1,1
895,1,1,0,0,7,0,1,1,1
896,1,1,0,0,7,0,1,1,1
897,0,1,1,3,10,0,1,0,0
898,1,1,0,3,7,0,1,2,2
899,1,1,3,10,6,0,1,2,2
903,1,1,3,1,7,0,1,2,2
904,1,1,1,3,7,0,1,1,1
905,0,1,0,3,7,0,1,1,1
906,1,1,0,3,7,0,1,1,1
907,1,1,0,3,7,0,1,1,1
908,1,1,1,3,7,0,1,1,1
909,1,1,1,3,7,0,1,1,1
910,1,1,3,3,7,0,1,1,1
911,1,1,3,3,7,0,1,1,1
913,1,1,3,0,7,0,1,0,0
914,1,1,0,0,7,0,1,1,1
917,0,1,0,3,7,0,1,1,1
918,1,1,0,3,7,0,1,1,1
919,1,1,0,10,6,0,1,2,2
920,0,1,3,5,7,0,1,0,0
922,1,1,0,3,7,0,1,0,0
923,1,1,0,3,7,0,1,1,1
925,1,1,3,5,7,0,1,0,0
926,1,1,3,8,6,0,1,2,2
927,1,1,3,1,2,0,1,0,0
928,1,1,1,1,7,0,1,0,0
932,1,1,0,2,7,0,1,1,1
933,1,1,0,3,7,0,1,2,2
934,0,1,0,3,7,0,1,2,2
935,1,1,3,0,7,0,1,0,0
936,1,1,3,10,6,0,1,0,0
937,1,1,3,3,14,0,1,0,0
939,1,1,1,0,7,0,1,2,2
941,1,1,0,8,7,0,1,1,1
942,1,1,3,10,6,0,1,0,0
943,1,1,3,10,6,0,1,0,0
944,1,1,0,10,7,0,1,0,0
945,1,0,3,10,7,0,1,0,0
946,1,1,0,10,7,0,1,2,2
947,1,1,3,1,2,0,1,1,1
949,1,1,3,1,7,0,1,0,0
950,1,1,3,10,7,0,1,1,1
951,1,0,3,10,7,0,1,1,1
952,0,1,3,3,9,0,1,2,2
957,1,1,1,10,7,0,1,1,1
959,1,0,0,8,7,0,1,0,0
960,1,1,3,0,7,0,1,2,2
961,1,1,1,8,7,0,1,1,1
962,1,1,0,8,7,0,1,1,1
963,1,1,3,1,7,0,1,0,0
966,1,1,3,4,13,0,1,0,0
968,1,1,3,2,7,0,1,2,2
969,1,1,3,2,7,0,1,2,2
971,1,0,3,0,7,0,1,1,1
972,1,1,0,0,7,0,1,1,1
973,1,1,3,8,7,0,1,1,1
974,1,1,3,8,7,0,1,1,1
975,1,1,1,0,7,0,1,1,1
976,1,1,3,0,7,0,1,1,1
977,1,1,3,8,7,0,1,1,1
978,1,1,3,8,7,0,1,1,1
979,1,1,0,8,7,0,1,1,1
980,1,1,1,8,7,0,1,0,0
981,1,1,3,8,7,0,1,1,1
982,1,1,0,1,7,0,1,2,2
983,1,1,3,0,7,0,1,2,2
984,1,1,0,10,7,0,1,0,0
986,1,0,3,10,7,0,1,0,0
987,1,0,1,10,7,0,1,0,0
993,1,0,0,10,7,0,1,1,1
994,1,1,0,10,7,0,1,2,2
995,1,0,0,10,7,0,1,1,1
997,1,1,0,6,7,0,1,2,2
998,1,1,1,8,7,0,1,2,2
999,1,1,1,6,7,0,1,1,1
1000,1,1,1,0,7,0,1,0,0
1002,0,1,3,3,7,0,1,0,0
1003,1,1,3,1,7,0,1,0,0
1004,1,1,3,3,10,0,1,1,1
1005,1,1,0,3,10,0,1,1,1
1009,0,1,1,3,7,0,1,1,1
1012,1,1,3,3,9,0,1,1,1
1014,1,0,1,3,7,0,1,1,1
1015,1,1,1,3,7,0,1,2,2
1016,1,1,1,3,7,0,1,2,2
1017,1,1,1,3,7,0,1,2,2
1018,1,1,0,3,7,0,1,2,2
1020,0,1,3,10,7,0,1,0,0
1021,1,1,1,3,7,0,1,2,2
1022,1,0,1,3,7,0,1,2,2
1026,1,1,3,10,7,0,1,0,0
1030,1,1,2,3,7,0,1,2,2
1032,1,1,3,5,6,0,1,0,0
1036,1,1,0,10,7,0,1,0,0
1037,1,0,3,10,7,0,1,0,0
1038,1,1,1,0,7,0,1,0,0
1039,1,1,1,0,9,0,1,1,1
1043,1,1,1,1,7,0,1,2,2
1044,1,1,3,3,7,0,1,2,2
1047,1,1,3,0,13,0,1,1,1
1048,1,1,3,10,7,0,1,0,0
1049,1,1,3,1,7,0,1,0,0
1050,1,1,3,1,7,0,1,1,1
1051,1,1,3,10,7,0,1,0,0
1055,1,1,3,10,7,0,1,2,2
1058,1,1,3,3,7,0,1,0,0
1062,1,1,0,3,2,0,1,1,1
1064,1,1,1,3,2,0,1,0,0
1065,1,0,3,3,7,0,1,1,1
1067,1,1,3,10,7,0,1,0,0
1068,1,1,3,3,9,0,1,2,2
1069,1,1,3,3,2,0,1,2,2
1073,1,1,1,3,8,0,1,1,1
1074,1,1,3,1,6,0,1,2,2
1075,1,1,0,3,6,0,1,1,1
1076,1,1,0,3,7,0,1,1,1
1078,0,1,0,3,7,0,1,1,1
1079,1,1,1,3,7,0,1,1,1
1080,1,1,3,3,7,0,1,2,2
1081,1,1,3,10,6,0,1,2,2
1084,1,1,3,10,7,0,1,2,2
1085,1,1,3,3,9,0,1,2,2
1089,1,1,1,0,7,0,1,1,1
1090,1,1,0,1,7,0,1,2,2
1091,1,1,1,0,7,0,1,1,1
1096,1,1,3,1,7,0,1,2,2
1097,1,1,3,0,6,0,1,0,0
1098,1,1,2,1,7,0,1,1,1
1099,1,1,3,10,6,0,1,2,2
1100,1,0,3,10,7,0,1,2,2
1102,1,1,0,0,2,0,1,1,1
1103,1,1,0,10,7,0,1,0,0
1106,1,1,3,8,2,0,1,0,0
1107,1,1,0,1,7,0,1,1,1
1108,1,1,0,1,7,0,1,1,1
1109,1,1,3,10,6,0,1,0,0
1110,1,1,3,3,7,0,1,1,1
1111,1,1,3,3,7,0,1,1,1
1112,1,1,3,3,7,0,1,1,1
1113,1,1,3,3,7,0,1,1,1
1114,1,1,3,8,14,0,1,2,2
1115,1,1,3,0,7,0,1,0,0
1117,1,1,3,1,7,0,1,1,1
1118,1,1,3,10,7,0,1,1,1
1119,1,1,3,3,9,0,1,2,2
1120,1,1,1,3,7,0,1,1,1
1121,1,1,1,3,7,0,1,1,1
1124,1,1,2,3,7,0,1,1,1
1125,1,1,3,3,9,0,1,2,2
1127,1,1,3,3,7,0,1,1,1
1128,1,1,1,3,7,0,1,1,1
1129,1,1,1,4,7,0,1,2,2
1130,1,1,1,3,9,0,1,2,2
1133,1,1,3,3,7,0,1,1,1
1134,1,1,3,10,7,0,1,2,2
1136,1,1,3,10,8,0,1,2,2
1137,1,0,3,10,7,0,1,2,2
1140,1,1,0,3,7,0,1,1,1
1141,1,1,0,3,7,0,1,0,0
1142,1,1,0,3,7,0,1,1,1
1143,1,1,0,4,7,0,1,0,0
1144,1,1,0,3,7,0,1,0,0
1145,0,1,1,3,7,0,1,2,2
1146,1,1,3,1,7,0,1,1,1
1149,1,1,3,3,9,0,1,1,1
1152,1,1,3,1,13,0,1,0,0
1154,1,1,1,5,9,0,1,2,2
1155,1,1,3,3,7,0,1,2,2
1156,1,1,0,3,7,0,1,2,2
1158,1,1,3,10,7,0,1,1,1
1159,1,1,0,3,7,0,1,0,0
1160,1,1,2,3,7,0,1,1,1
1161,1,1,1,10,7,0,1,0,0
1162,1,1,1,3,7,0,1,2,2
1163,1,1,1,8,7,0,1,1,1
1164,1,1,1,8,7,0,1,1,1
1169,1,1,0,1,7,0,1,2,2
1170,1,1,1,1,13,0,1,0,0
1171,1,1,1,10,7,0,1,1,1
1176,1,1,0,3,7,0,1,2,2
1177,1,1,0,3,7,0,1,2,2
1180,1,1,3,3,7,0,1,2,2
1181,1,1,3,3,7,0,1,2,2
1182,1,1,3,5,6,0,1,2,2
1183,1,1,0,3,7,0,1,1,1
1184,1,1,0,3,7,0,1,2,2
1185,1,1,0,3,7,0,1,1,1
1186,1,1,0,3,7,0,1,1,1
1189,1,1,3,0,7,0,1,2,2
1191,1,1,3,3,7,0,1,2,2
1192,1,1,3,3,9,0,1,2,2
1193,1,1,0,3,7,0,1,1,1
1194,1,1,1,3,9,0,1,1,1
1198,1,0,3,10,7,0,1,2,2
1202,1,1,3,3,7,0,1,2,2
1206,0,1,3,3,7,0,1,2,2
1208,0,1,3,3,7,0,1,2,2
1209,1,1,1,3,9,0,1,1,1
1210,1,1,3,0,7,0,1,0,0
1212,1,1,3,3,8,0,1,1,1
1213,1,1,0,10,7,0,1,0,0
1214,1,1,3,10,7,0,1,0,0
1215,1,0,3,8,7,0,1,2,2
1217,1,1,3,5,7,0,1,2,2
1220,1,1,3,1,7,0,1,1,1
1221,1,1,3,1,7,0,1,1,1
1222,1,1,3,3,7,0,1,2,2
1223,1,1,3,10,7,0,1,0,0
1224,0,1,1,3,7,0,1,1,1
1225,0,1,0,3,9,0,1,1,1
1226,1,1,3,10,7,0,1,0,0
1227,1,1,3,0,2,0,1,0,0
1228,1,1,3,0,7,0,1,1,1
1229,1,1,0,3,7,0,1,0,0
1231,1,1,3,3,7,0,1,0,0
1232,1,1,3,10,7,0,1,2,2
1233,1,0,3,5,7,0,1,2,2
1234,1,1,0,5,7,0,1,2,2
1235,1,1,3,0,7,0,1,2,2
1236,1,0,1,10,7,0,1,2,2
1237,1,1,1,5,7,0,1,2,2
1239,1,1,3,1,7,0,1,2,2
1240,1,1,1,8,7,0,1,2,2
1241,1,1,0,1,10,0,1,2,2
1245,0,1,1,3,9,0,1,1,1
1247,1,1,3,10,6,0,1,2,2
1248,1,1,0,3,9,0,1,1,1
1249,1,1,0,3,7,0,1,1,1
1250,1,1,0,3,7,0,1,1,1
1253,1,1,0,3,9,0,1,1,1
1254,1,1,0,3,2,0,1,1,1
1255,1,1,0,3,7,0,1,0,0
1258,1,0,0,3,7,0,1,0,0
1263,1,1,1,3,7,0,1,1,1
1265,0,1,0,3,2,0,1,2,2
1266,1,1,3,2,7,0,1,2,2
1267,1,1,0,3,7,0,1,1,1
1268,1,1,0,3,7,0,1,1,1
1269,1,1,0,3,7,0,1,1,1
1270,1,1,3,5,7,0,1,0,0
1271,1,1,3,10,7,0,1,1,1
1272,1,1,3,10,7,0,1,1,1
1273,1,1,3,10,6,0,1,0,0
1274,1,1,3,10,7,0,1,0,0
1275,1,1,1,10,7,0,1,0,0
1276,1,1,3,10,7,0,1,1,1
1278,1,1,3,3,7,0,1,2,2
1279,1,1,3,3,7,0,1,0,0
1280,0,1,1,3,9,0,1,1,1
1281,1,1,3,1,7,0,1,2,2
1283,1,1,3,3,7,0,1,2,2
1284,1,1,3,3,9,0,1,1,1
1287,1,1,3,10,7,0,1,0,0
1288,1,1,1,1,7,0,1,2,2
1289,1,1,3,6,7,0,1,0,0
1290,1,1,3,6,7,0,1,0,0
1292,0,1,2,3,14,0,1,2,2
1293,1,1,0,10,7,0,1,2,2
1295,1,1,1,10,6,0,1,0,0
1298,1,1,3,2,7,0,1,2,2
1299,1,1,3,1,7,0,1,2,2
1307,1,1,3,5,7,0,1,1,1
1310,1,1,0,6,7,0,1,0,0
1312,1,1,3,0,7,0,1,2,2
1313,1,1,3,0,7,0,1,2,2
1314,1,1,2,8,7,0,1,2,2
1315,1,1,0,8,7,0,1,2,2
1316,1,1,3,0,7,0,1,2,2
1317,1,1,3,0,7,0,1,2,2
1320,1,1,3,0,7,0,1,2,2
1321,1,1,0,3,10,0,1,2,2
1322,1,1,0,3,7,0,1,1,1
1323,1,1,0,3,7,0,1,1,1
1324,1,1,0,3,7,0,1,1,1
1326,1,1,0,3,7,0,1,1,1
1328,0,1,3,5,7,0,1,0,0
1329,0,0,0,3,7,0,1,1,1
1332,1,0,3,3,7,0,1,1,1
1333,1,1,3,1,7,0,1,0,0
1334,1,1,0,3,7,0,1,0,0
1335,1,1,3,10,7,0,1,0,0
1336,1,1,3,10,8,0,1,2,2
1338,1,1,3,0,7,0,1,2,2
1339,1,1,3,8,7,0,1,2,2
1340,1,1,3,0,7,0,1,2,2
1341,1,1,2,8,7,0,1,2,2
1342,1,1,3,0,7,0,1,2,2
1343,1,1,3,8,7,0,1,2,2
1345,1,1,0,3,7,0,1,0,0
1346,1,1,0,5,7,0,1,2,2
1347,1,1,0,3,6,0,1,1,1
1348,1,1,0,3,6,0,1,1,1
1349,1,1,3,0,6,0,1,0,0
1351,1,1,3,1,6,0,1,1,1
1352,1,1,3,1,6,0,1,1,1
1353,1,1,3,10,7,0,1,0,0
1354,1,0,3,0,7,0,1,0,0
1355,1,1,0,0,7,0,1,0,0
1356,1,1,3,10,7,0,1,2,2
1358,1,1,3,10,6,0,1,1,1
1360,1,1,3,1,7,0,1,2,2
1365,1,1,3,10,6,0,1,0,0
1367,1,1,1,6,7,0,1,1,1
1369,1,1,3,1,7,0,1,2,2
1370,1,1,3,0,7,0,1,2,2
1371,1,1,3,10,7,0,1,1,1
1373,1,1,0,3,7,0,1,1,1
1376,1,1,3,1,7,0,1,1,1
1378,1,1,3,2,7,0,1,2,2
1379,1,1,1,1,7,0,1,2,2
1380,1,1,1,1,7,0,1,2,2
1381,1,1,1,1,7,0,1,0,0
1382,1,1,3,10,7,0,1,2,2
1385,0,1,0,3,13,1,1,0,0
1386,1,1,3,3,7,0,1,2,2
1387,1,1,3,1,7,0,1,2,2
1388,1,1,3,1,2,1,1,0,0
1390,1,1,0,3,7,0,1,1,1
1391,1,1,0,3,7,0,1,1,1
1392,1,1,1,3,7,0,1,2,2
1394,1,1,0,5,7,0,1,0,0
1395,1,1,1,5,7,0,1,2,2
1396,1,1,3,5,7,0,1,1,1
1397,1,1,3,3,7,1,1,0,0
1398,0,1,0,3,7,0,1,1,1
1399,1,1,3,5,7,0,1,1,1
1400,1,0,3,10,6,0,1,0,0
1401,1,1,1,1,13,1,1,0,0
1403,0,1,3,3,13,1,1,2,2
1404,1,1,0,7,7,1,1,1,1
1405,1,1,3,3,7,1,1,0,0
1406,1,1,3,1,7,0,1,0,0
1407,1,1,3,1,7,0,1,1,1
1408,1,1,0,10,7,0,1,2,2
1409,1,1,3,3,7,0,1,1,1
1410,1,1,3,10,7,0,1,2,2
1411,0,1,1,3,13,1,1,1,1
1412,0,0,3,3,7,0,1,1,1
1413,0,1,1,3,7,0,1,1,1
1414,1,1,1,3,7,0,1,1,1
1415,1,1,2,3,7,0,1,1,1
1416,1,1,1,3,7,0,1,1,1
1417,0,1,1,3,7,0,1,1,1
1418,0,1,0,3,7,0,1,2,2
1419,1,1,0,3,7,0,1,2,2
1420,0,1,0,3,13,0,1,2,2
1422,1,1,2,10,7,0,1,1,1
1423,1,1,2,10,6,1,1,1,1
1424,1,1,3,10,7,0,1,0,0
1425,1,1,3,10,7,0,1,0,0
1426,1,0,3,1,13,0,1,2,2
1427,1,1,3,1,7,0,1,2,2
1428,1,1,0,10,7,0,1,0,0
1429,1,0,3,10,7,0,1,0,0
1430,1,1,3,3,7,0,1,1,1
1431,1,1,3,3,7,0,1,1,1
1432,1,1,3,3,7,0,1,1,1
1434,1,1,3,10,7,0,1,2,2
1435,1,1,2,10,7,0,1,1,1
1437,1,1,1,3,7,0,1,2,2
1439,1,1,2,0,7,0,1,2,2
1440,0,1,0,6,7,0,1,1,1
1441,1,1,1,0,7,1,1,0,0
1443,1,1,0,1,7,0,1,0,0
1444,1,1,3,1,7,0,1,1,1
1445,1,0,3,10,7,0,1,0,0
1448,1,1,3,3,7,0,1,2,2
1449,1,1,3,3,7,0,1,2,2
1450,1,0,3,1,7,0,1,2,2
1451,1,1,0,7,7,0,1,2,2
1452,1,1,0,7,9,1,1,2,2
1453,0,1,1,3,13,1,1,1,1
1454,0,0,1,3,9,1,1,1,1
1456,1,1,3,3,7,1,1,1,1
1457,1,1,1,3,7,0,1,2,2
1458,1,1,0,5,13,1,1,2,2
1459,1,1,1,3,7,0,1,1,1
1460,0,1,3,3,7,0,1,2,2
1464,1,1,3,1,7,0,1,1,1
1465,1,1,3,1,7,0,1,1,1
1466,1,0,2,10,7,0,1,1,1
1467,1,1,0,1,6,1,1,0,0
1468,0,1,0,3,7,0,1,2,2
1469,0,1,0,3,7,0,1,1,1
1470,0,2,0,3,13,1,1,1,1
1471,1,1,0,3,13,1,1,1,1
1472,1,1,1,3,7,0,1,1,1
1473,0,1,3,3,7,0,1,2,2
1474,1,1,1,3,7,0,1,2,2
1475,0,1,1,3,7,0,1,1,1
1476,1,1,1,3,7,0,1,2,2
1477,1,1,1,3,7,0,1,2,2
1478,1,1,1,3,7,0,1,1,1
1479,1,1,1,5,7,0,1,1,1
1480,1,1,1,5,13,0,1,1,1
1481,1,1,3,1,7,1,1,2,2
1482,1,1,3,1,7,0,1,0,0
1483,1,1,3,1,13,1,1,1,1
1484,1,1,3,1,7,0,1,0,0
1485,0,1,2,3,7,0,1,2,2
1486,1,2,3,3,13,1,1,2,2
1487,0,1,3,3,7,0,1,2,2
1488,0,1,0,3,7,0,1,2,2
1489,0,1,0,3,13,1,1,2,2
1491,1,1,3,1,7,0,1,2,2
1492,1,1,0,3,9,0,1,1,1
1493,1,1,0,3,9,1,1,1,1
1494,1,1,3,0,7,0,1,2,2
1495,1,1,3,0,7,0,1,1,1
1496,1,1,3,3,7,0,1,0,0
1497,1,1,1,0,7,0,1,2,2
1498,1,1,3,1,13,0,1,1,1
1499,1,1,3,5,7,0,1,1,1
1500,1,1,0,1,7,0,1,1,1
1502,1,1,0,1,7,0,1,1,1
1507,1,1,1,1,7,0,1,2,2
1508,1,1,0,1,7,0,1,0,0
1509,1,1,1,1,7,1,1,0,0
1510,1,1,3,0,7,0,1,0,0
1511,1,1,3,1,7,0,1,1,1
1512,1,1,3,3,14,1,1,1,1
1513,0,1,3,3,7,0,1,2,2
1514,1,1,1,1,7,0,1,2,2
1515,0,1,1,5,7,0,1,1,1
1516,0,1,0,3,7,0,1,2,2
1517,0,1,0,3,7,0,1,2,2
1518,0,1,0,3,7,0,1,2,2
1519,1,1,0,3,7,0,1,2,2
1520,0,0,3,3,7,0,1,2,2
1521,1,1,3,1,7,0,1,1,1
1522,1,1,1,0,7,1,1,0,0
1523,1,1,3,3,7,0,1,1,1
1524,1,1,3,3,7,0,1,1,1
1525,1,1,3,3,7,0,1,2,2
1526,1,1,3,1,7,0,1,2,2
1527,1,1,1,1,7,1,1,0,0
1528,1,1,3,1,13,0,1,2,2
1529,1,0,3,1,7,0,1,1,1
1530,1,0,3,10,7,0,1,1,1
1531,1,1,2,0,7,0,1,0,0
1532,0,1,3,3,7,0,1,2,2
1533,0,1,3,3,7,0,1,1,1
1535,1,1,0,3,7,0,1,2,2
1536,1,1,0,3,7,0,1,2,2
1537,1,1,3,3,6,1,1,2,2
1538,0,1,3,0,7,0,1,2,2
1539,0,1,3,0,7,0,1,2,2
1540,1,1,3,1,7,0,1,1,1
1541,1,1,3,1,7,0,1,1,1
1542,0,0,1,6,7,0,1,0,0
1544,1,1,3,1,7,0,1,0,0
1545,1,1,2,3,7,0,1,1,1
1549,1,1,2,1,7,0,1,1,1
1550,1,1,1,1,7,0,1,1,1
1551,1,1,3,1,7,0,1,2,2
1552,1,1,3,1,7,0,1,0,0
1555,1,1,2,2,7,0,1,1,1
1556,1,1,0,1,13,1,1,2,2
1557,0,1,3,3,13,1,1,0,0
1559,1,1,0,1,7,0,1,1,1
1561,1,1,3,1,7,0,1,1,1
1562,0,1,1,3,13,1,1,1,1
1563,0,1,1,3,13,1,1,1,1
1564,1,1,2,1,6,0,1,1,1
1565,1,1,3,10,13,1,1,0,0
1566,1,2,3,10,7,0,1,0,0
1567,0,1,0,3,7,0,1,0,0
1568,1,1,0,3,7,0,1,2,2
1569,1,1,2,3,7,0,1,2,2
1570,1,1,2,3,7,0,1,2,2
1571,1,1,0,3,7,0,1,2,2
1572,1,1,3,3,7,0,1,2,2
1573,0,1,3,6,7,0,1,2,2
1574,1,1,3,3,7,1,1,0,0
1575,1,1,3,1,7,0,1,2,2
1576,1,1,3,3,9,1,1,1,1
1577,0,1,3,3,7,0,1,0,0
1578,0,1,3,10,13,0,1,1,1
1579,0,1,0,3,7,1,1,2,2
1580,0,1,0,3,7,1,1,0,0
1581,0,1,0,3,7,1,1,2,2
1582,0,1,1,0,7,0,1,1,1
1583,0,1,1,0,7,0,1,1,1
1584,0,1,0,3,7,1,1,2,2
1585,1,0,3,10,7,0,1,0,0
1588,0,1,0,3,7,0,1,1,1
1589,0,1,0,5,7,0,1,1,1
1590,1,1,0,3,7,0,1,1,1
1591,0,1,3,3,7,0,1,2,2
1593,1,1,3,10,7,0,2,2,2
1594,1,1,2,5,7,0,2,0,0
1595,0,1,1,3,7,1,2,1,1
1596,0,1,1,3,9,1,2,2,2
1597,0,1,1,3,9,1,2,1,1
1598,1,1,1,3,7,0,2,1,1
1599,0,1,3,1,7,0,2,1,1
1600,1,1,3,10,13,0,2,0,0
1605,1,0,1,1,13,1,2,0,0
1606,0,1,0,3,14,1,2,2,2
1607,0,1,0,3,6,1,2,1,1
1608,1,0,3,5,6,0,2,0,0
1609,1,1,0,1,7,0,2,1,1
1611,1,0,3,1,7,1,2,0,0
1612,1,0,3,10,6,1,2,2,2
1613,1,1,3,1,7,0,2,0,0
1614,0,1,0,3,13,1,2,1,1
1615,0,1,0,3,7,1,2,1,1
1616,0,1,3,3,13,1,2,2,2
1617,0,1,3,3,7,0,2,1,1
1618,1,1,1,3,7,0,2,1,1
